SHIP, NATION, SURVEY, FREQUENCY, TR, DATE, TIME, LOGSTART, LOGSTOP, LONGITUDE, LATITUDE, DEPTH, CAP, TOTAL
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:23:32, 2115.70, 2115.80, -37.40405, 63.56934, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:24:08, 2115.79, 2115.90, -37.40601, 63.57072, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:24:44, 2115.89, 2115.99, -37.40794, 63.57214, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:25:20, 2116.00, 2116.10, -37.40987, 63.57355, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:25:56, 2116.09, 2116.19, -37.41182, 63.57498, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:26:32, 2116.20, 2116.30, -37.41384, 63.57639, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:27:08, 2116.30, 2116.40, -37.41588, 63.57780, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:27:45, 2116.40, 2116.50, -37.41776, 63.57925, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:28:19, 2116.50, 2116.60, -37.41955, 63.58061, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:28:55, 2116.60, 2116.70, -37.42149, 63.58204, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:29:31, 2116.70, 2116.80, -37.42342, 63.58347, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:30:08, 2116.80, 2116.90, -37.42535, 63.58490, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:30:43, 2116.90, 2117.00, -37.42726, 63.58629, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:31:18, 2117.00, 2117.10, -37.42912, 63.58771, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:31:54, 2117.10, 2117.20, -37.43103, 63.58918, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:32:29, 2117.20, 2117.30, -37.43301, 63.59058, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:33:04, 2117.30, 2117.40, -37.43501, 63.59197, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:33:39, 2117.40, 2117.50, -37.43684, 63.59340, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:34:15, 2117.50, 2117.60, -37.43874, 63.59485, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:34:50, 2117.60, 2117.70, -37.44048, 63.59627, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:35:26, 2117.70, 2117.80, -37.44227, 63.59775, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:36:02, 2117.80, 2117.90, -37.44420, 63.59921, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:36:36, 2117.90, 2118.00, -37.44598, 63.60060, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:37:11, 2118.00, 2118.10, -37.44775, 63.60204, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:37:47, 2118.10, 2118.20, -37.44958, 63.60353, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 02:38:22, 2118.20, 2118.30, -37.45137, 63.60495, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:43:30, 2120.00, 2120.10, -37.46729, 63.61969, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:44:24, 2120.10, 2120.20, -37.46931, 63.62111, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:45:07, 2120.20, 2120.30, -37.47145, 63.62245, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:45:46, 2120.30, 2120.40, -37.47357, 63.62383, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:46:22, 2120.40, 2120.50, -37.47557, 63.62518, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:46:58, 2120.50, 2120.60, -37.47763, 63.62658, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:47:33, 2120.60, 2120.70, -37.47972, 63.62794, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:48:08, 2120.70, 2120.80, -37.48183, 63.62931, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:48:44, 2120.80, 2120.90, -37.48395, 63.63074, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:49:18, 2120.90, 2121.00, -37.48605, 63.63206, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:49:52, 2121.00, 2121.10, -37.48819, 63.63338, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:50:28, 2121.10, 2121.20, -37.49037, 63.63479, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:51:02, 2121.20, 2121.30, -37.49240, 63.63611, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:51:38, 2121.30, 2121.40, -37.49458, 63.63750, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:52:12, 2121.40, 2121.50, -37.49661, 63.63882, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:52:48, 2121.50, 2121.60, -37.49867, 63.64024, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:53:23, 2121.60, 2121.70, -37.50076, 63.64159, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:53:59, 2121.70, 2121.80, -37.50301, 63.64294, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:54:35, 2121.80, 2121.90, -37.50521, 63.64429, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:55:09, 2121.90, 2122.00, -37.50729, 63.64558, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:55:45, 2122.00, 2122.10, -37.50946, 63.64696, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:56:21, 2122.10, 2122.20, -37.51165, 63.64833, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:56:56, 2122.20, 2122.30, -37.51382, 63.64966, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:57:32, 2122.30, 2122.40, -37.51606, 63.65101, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:58:07, 2122.40, 2122.50, -37.51828, 63.65231, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:58:42, 2122.50, 2122.60, -37.52046, 63.65362, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:59:18, 2122.60, 2122.70, -37.52263, 63.65499, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 03:59:54, 2122.70, 2122.80, -37.52481, 63.65635, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:00:30, 2122.80, 2122.90, -37.52697, 63.65771, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:01:05, 2122.90, 2123.00, -37.52911, 63.65902, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:01:40, 2123.00, 2123.10, -37.53127, 63.66032, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:02:17, 2123.10, 2123.20, -37.53352, 63.66171, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:02:53, 2123.20, 2123.30, -37.53567, 63.66305, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:03:29, 2123.30, 2123.40, -37.53780, 63.66441, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:04:05, 2123.40, 2123.50, -37.53982, 63.66580, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:04:41, 2123.50, 2123.60, -37.54184, 63.66718, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:05:17, 2123.60, 2123.70, -37.54395, 63.66854, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:05:53, 2123.70, 2123.80, -37.54601, 63.66991, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:06:29, 2123.80, 2123.90, -37.54802, 63.67130, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:07:05, 2123.90, 2124.00, -37.55008, 63.67267, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:07:41, 2124.00, 2124.10, -37.55222, 63.67402, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:08:17, 2124.10, 2124.20, -37.55424, 63.67542, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:08:53, 2124.20, 2124.30, -37.55627, 63.67680, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:09:29, 2124.30, 2124.40, -37.55833, 63.67819, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:10:05, 2124.40, 2124.50, -37.56038, 63.67958, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:10:41, 2124.50, 2124.60, -37.56245, 63.68098, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:11:16, 2124.60, 2124.70, -37.56445, 63.68233, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:11:52, 2124.70, 2124.80, -37.56649, 63.68373, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:12:28, 2124.80, 2124.90, -37.56856, 63.68512, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:13:04, 2124.90, 2125.00, -37.57067, 63.68651, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:13:39, 2125.00, 2125.10, -37.57269, 63.68786, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:14:15, 2125.10, 2125.20, -37.57478, 63.68926, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:14:50, 2125.20, 2125.30, -37.57682, 63.69062, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:15:26, 2125.30, 2125.40, -37.57894, 63.69201, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:16:01, 2125.40, 2125.50, -37.58099, 63.69337, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:16:37, 2125.50, 2125.60, -37.58313, 63.69475, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:17:13, 2125.60, 2125.70, -37.58523, 63.69614, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:17:47, 2125.70, 2125.80, -37.58721, 63.69747, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:18:23, 2125.80, 2125.90, -37.58927, 63.69887, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:18:59, 2125.90, 2126.00, -37.59141, 63.70025, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:19:35, 2126.00, 2126.10, -37.59357, 63.70163, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:20:10, 2126.10, 2126.20, -37.59560, 63.70299, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:20:45, 2126.20, 2126.30, -37.59764, 63.70435, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:21:20, 2126.30, 2126.40, -37.59969, 63.70572, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:21:55, 2126.40, 2126.50, -37.60172, 63.70710, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:22:31, 2126.50, 2126.60, -37.60383, 63.70852, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:23:05, 2126.60, 2126.70, -37.60584, 63.70985, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:23:40, 2126.70, 2126.80, -37.60789, 63.71123, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:24:16, 2126.80, 2126.90, -37.60997, 63.71265, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:24:51, 2126.90, 2127.00, -37.61199, 63.71402, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:25:26, 2127.00, 2127.10, -37.61401, 63.71540, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:26:01, 2127.10, 2127.20, -37.61602, 63.71677, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:26:37, 2127.20, 2127.30, -37.61811, 63.71817, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:27:12, 2127.30, 2127.40, -37.62012, 63.71954, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:27:48, 2127.40, 2127.50, -37.62221, 63.72094, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:28:23, 2127.50, 2127.60, -37.62418, 63.72233, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:28:58, 2127.60, 2127.70, -37.62618, 63.72370, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:29:34, 2127.70, 2127.80, -37.62827, 63.72511, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:30:09, 2127.80, 2127.90, -37.63034, 63.72649, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:30:43, 2127.90, 2128.00, -37.63234, 63.72787, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:31:19, 2128.00, 2128.10, -37.63437, 63.72926, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:31:54, 2128.10, 2128.20, -37.63643, 63.73064, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:32:29, 2128.20, 2128.30, -37.63839, 63.73204, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:33:05, 2128.30, 2128.40, -37.64044, 63.73347, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:33:40, 2128.40, 2128.50, -37.64241, 63.73486, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:34:15, 2128.50, 2128.60, -37.64454, 63.73623, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:34:50, 2128.60, 2128.70, -37.64674, 63.73756, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:35:25, 2128.70, 2128.80, -37.64894, 63.73889, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:36:00, 2128.80, 2128.90, -37.65112, 63.74023, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:36:36, 2128.90, 2129.00, -37.65337, 63.74160, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:37:10, 2129.00, 2129.10, -37.65548, 63.74289, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:37:46, 2129.10, 2129.20, -37.65767, 63.74425, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:38:21, 2129.20, 2129.30, -37.65990, 63.74558, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:38:56, 2129.30, 2129.40, -37.66205, 63.74692, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:39:32, 2129.40, 2129.50, -37.66425, 63.74831, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:40:06, 2129.50, 2129.60, -37.66639, 63.74958, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:40:42, 2129.60, 2129.70, -37.66867, 63.75094, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:41:17, 2129.70, 2129.80, -37.67086, 63.75227, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:41:52, 2129.80, 2129.90, -37.67310, 63.75359, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:42:28, 2129.90, 2130.00, -37.67538, 63.75496, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:43:02, 2130.00, 2130.10, -37.67752, 63.75624, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:43:38, 2130.10, 2130.20, -37.67981, 63.75760, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:44:13, 2130.20, 2130.30, -37.68203, 63.75893, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:44:48, 2130.30, 2130.40, -37.68424, 63.76025, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:45:23, 2130.40, 2130.50, -37.68645, 63.76157, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:45:58, 2130.50, 2130.60, -37.68869, 63.76288, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:46:34, 2130.60, 2130.70, -37.69093, 63.76425, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:47:09, 2130.70, 2130.80, -37.69313, 63.76558, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:47:45, 2130.80, 2130.90, -37.69539, 63.76694, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:48:20, 2130.90, 2131.00, -37.69759, 63.76826, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:48:56, 2131.00, 2131.10, -37.69978, 63.76965, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:49:30, 2131.10, 2131.20, -37.70189, 63.77095, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:50:05, 2131.20, 2131.30, -37.70409, 63.77227, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:50:41, 2131.30, 2131.40, -37.70631, 63.77364, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:51:16, 2131.40, 2131.50, -37.70850, 63.77495, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:51:52, 2131.50, 2131.60, -37.71067, 63.77634, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:52:27, 2131.60, 2131.70, -37.71279, 63.77769, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:53:02, 2131.70, 2131.80, -37.71491, 63.77904, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:53:38, 2131.80, 2131.90, -37.71709, 63.78043, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:54:12, 2131.90, 2132.00, -37.71914, 63.78174, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:54:48, 2132.00, 2132.10, -37.72123, 63.78312, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:55:24, 2132.10, 2132.20, -37.72342, 63.78448, 0.0, 0.0, 0.0
Eros, Norway, 2020899, 38000, 2, 2020.09.09, 04:56:00, 2132.20, 2132.30, -37.72563, 63.78583, 0.0, 0.0, 0.0
